lims_backend  | DEBUG 2026-02-08 05:13:20,368 utils 19 130347963706240 (0.000) SELECT COUNT(*) AS "__count" FROM "results_testresult"; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,369 utils 19 130347963706240 (0.000) SELECT SUM("billing_payment"."amount") AS "total" FROM "billing_payment"; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,370 utils 19 130347963706240 (0.000) SELECT SUM("orders_order"."net_amount") AS "total" FROM "orders_order" WHERE NOT "orders_order"."is_paid"; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,371 utils 19 130347963706240 (0.001) SELECT "orders_order"."status", COUNT("orders_order"."id") AS "count" FROM "orders_order" GROUP BY "orders_order"."status" ORDER BY "orders_order"."status" ASC; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,594 utils 16 130347963706240 (0.000) SELECT 1; args=None; alias=default
lims_backend  | /usr/local/lib/python3.12/site-packages/jwt/api_jwt.py:371: InsecureKeyLengthWarning: The HMAC key is 24 bytes long, which is below the minimum recommended length of 32 bytes for SHA256. See RFC 7518 Section 3.2.
lims_backend  |   decoded = self.decode_complete(
lims_backend  | DEBUG 2026-02-08 05:13:20,627 utils 18 130347963706240 (0.002) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."id" = 1 LIMIT 21; args=(1,); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,631 utils 18 130347963706240 (0.002) SELECT COUNT(*) AS "__count" FROM "orders_order" WHERE ("orders_order"."created_at" AT TIME ZONE 'Asia/Karachi')::date = '2026-02-08'::date; args=('Asia/Karachi', datetime.date(2026, 2, 8)); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,634 utils 18 130347963706240 (0.002) SELECT COUNT(*) AS "__count" FROM "samples" WHERE ("samples"."collected_at" AT TIME ZONE 'Asia/Karachi')::date = '2026-02-08'::date; args=('Asia/Karachi', datetime.date(2026, 2, 8)); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,636 utils 18 130347963706240 (0.001) SELECT COUNT(*) AS "__count" FROM "results_testresult" WHERE ("results_testresult"."entered_at" AT TIME ZONE 'Asia/Karachi')::date = '2026-02-08'::date; args=('Asia/Karachi', datetime.date(2026, 2, 8)); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,639 utils 18 130347963706240 (0.002) SELECT COUNT(*) AS "__count" FROM "reports_report" WHERE ("reports_report"."generated_at" AT TIME ZONE 'Asia/Karachi')::date = '2026-02-08'::date; args=('Asia/Karachi', datetime.date(2026, 2, 8)); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,641 utils 18 130347963706240 (0.001) SELECT SUM("billing_payment"."amount") AS "total" FROM "billing_payment" WHERE ("billing_payment"."payment_date" AT TIME ZONE 'Asia/Karachi')::date = '2026-02-08'::date; args=('Asia/Karachi', datetime.date(2026, 2, 8)); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,643 utils 18 130347963706240 (0.002) SELECT COUNT(*) AS "__count" FROM "samples" WHERE "samples"."status" = 'PENDING'; args=(SampleStatus.PENDING,); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,644 utils 18 130347963706240 (0.000) SELECT COUNT(*) AS "__count" FROM "results_testresult" WHERE "results_testresult"."status" = 'pending'; args=('pending',); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,645 utils 18 130347963706240 (0.000) SELECT COUNT(*) AS "__count" FROM "results_testresult" WHERE "results_testresult"."status" = 'pending'; args=('pending',); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,646 utils 18 130347963706240 (0.000) SELECT COUNT(*) AS "__count" FROM "orders_order" WHERE "orders_order"."created_at" >= '2026-02-01T00:13:20.645787+00:00'::timestamptz; args=(datetime.datetime(2026, 2, 1, 0, 13, 20, 645787, tzinfo=datetime.timezone.utc),); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,647 utils 18 130347963706240 (0.000) SELECT SUM("billing_payment"."amount") AS "total" FROM "billing_payment" WHERE "billing_payment"."payment_date" >= '2026-02-01T00:13:20.645787+00:00'::timestamptz; args=(datetime.datetime(2026, 2, 1, 0, 13, 20, 645787, tzinfo=datetime.timezone.utc),); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,651 utils 18 130347963706240 (0.003) SELECT COUNT(*) AS "__count" FROM "patients"; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,652 utils 18 130347963706240 (0.001) SELECT COUNT(*) AS "__count" FROM "orders_order"; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,653 utils 18 130347963706240 (0.000) SELECT COUNT(*) AS "__count" FROM "samples"; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,654 utils 18 130347963706240 (0.000) SELECT COUNT(*) AS "__count" FROM "results_testresult"; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,655 utils 18 130347963706240 (0.000) SELECT SUM("billing_payment"."amount") AS "total" FROM "billing_payment"; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,656 utils 18 130347963706240 (0.000) SELECT SUM("orders_order"."net_amount") AS "total" FROM "orders_order" WHERE NOT "orders_order"."is_paid"; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,657 utils 18 130347963706240 (0.001) SELECT "orders_order"."status", COUNT("orders_order"."id") AS "count" FROM "orders_order" GROUP BY "orders_order"."status" ORDER BY "orders_order"."status" ASC; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,962 utils 16 130347963706240 (0.003) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."id" = 1 LIMIT 21; args=(1,); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,966 utils 16 130347963706240 (0.002) SELECT "system_settings"."id", "system_settings"."lab_name", "system_settings"."lab_display_name", "system_settings"."lab_address", "system_settings"."lab_phone", "system_settings"."lab_email", "system_settings"."lab_logo", "system_settings"."report_header", "system_settings"."report_footer", "system_settings"."report_header_image", "system_settings"."report_footer_image", "system_settings"."currency", "system_settings"."tax_rate", "system_settings"."email_host", "system_settings"."email_port", "system_settings"."email_use_tls", "system_settings"."email_use_ssl", "system_settings"."email_host_user", "system_settings"."email_host_password", "system_settings"."email_from", "system_settings"."backup_enabled", "system_settings"."backup_frequency", "system_settings"."updated_at", "system_settings"."updated_by_id" FROM "system_settings" ORDER BY "system_settings"."id" ASC LIMIT 1; args=(); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,968 utils 19 130347963706240 (0.003) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."id" = 1 LIMIT 21; args=(1,); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:20,969 utils 16 130347963706240 (0.000) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."id" = 1 LIMIT 21; args=(1,); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:21,017 utils 16 130347963706240 (0.002) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."id" = 1 LIMIT 21; args=(1,); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:21,041 utils 16 130347963706240 (0.020) SELECT DISTINCT "orders_orderitem"."id", "orders_orderitem"."order_id", "orders_orderitem"."test_id", "orders_orderitem"."panel_id", "orders_orderitem"."price", "orders_orderitem"."status", "orders_order"."id", "orders_order"."order_id", "orders_order"."patient_id", "orders_order"."ordered_by_id", "orders_order"."created_at", "orders_order"."updated_at", "orders_order"."status", "orders_order"."priority", "orders_order"."notes", "orders_order"."referred_by", "orders_order"."lab_number", "orders_order"."lab_date", "orders_order"."daily_serial", "orders_order"."collection_center_id", "orders_order"."total_amount", "orders_order"."discount", "orders_order"."discount_percent", "orders_order"."net_amount", "orders_order"."paid_amount", "orders_order"."due_amount", "orders_order"."is_paid", "patients"."id", "patients"."patient_id", "patients"."mrn", "patients"."registration_number", "patients"."registration_center_id", "patients"."registration_datetime", "patients"."first_name", "patients"."last_name", "patients"."full_name", "patients"."father_name", "patients"."father_husband_name", "patients"."date_of_birth", "patients"."dob", "patients"."gender", "patients"."sex", "patients"."age_years", "patients"."age_months", "patients"."age_days", "patients"."phone", "patients"."email", "patients"."default_referred_by", "patients"."national_id", "patients"."cnic", "patients"."address", "patients"."is_offline_entry", "patients"."origin_terminal_id", "patients"."synced_at", "patients"."created_at", "patients"."updated_at", "patients"."created_by_id", "tests"."test_id", "tests"."test_code", "tests"."legacy_test_code", "tests"."test_name", "tests"."category_id", "tests"."loinc_code", "tests"."sample_type", "tests"."sample_volume", "tests"."price", "tests"."turnaround_time", "tests"."instructions", "tests"."is_active", "tests"."created_at", "tests"."updated_at", "test_panels"."id", "test_panels"."panel_code", "test_panels"."panel_name", "test_panels"."category_id", "test_panels"."sample_type", "test_panels"."sample_volume", "test_panels"."price", "test_panels"."turnaround_time", "test_panels"."description", "test_panels"."is_active", "test_panels"."created_at", "test_panels"."updated_at" FROM "orders_orderitem" INNER JOIN "orders_order" ON ("orders_orderitem"."order_id" = "orders_order"."id") INNER JOIN "patients" ON ("orders_order"."patient_id" = "patients"."id") LEFT OUTER JOIN "tests" ON ("orders_orderitem"."test_id" = "tests"."test_id") LEFT OUTER JOIN "test_panels" ON ("orders_orderitem"."panel_id" = "test_panels"."id") WHERE (("orders_orderitem"."id" IN (SELECT U0."order_item_id" FROM "samples" U0 WHERE U0."status" IN ('COLLECTED', 'RECEIVED')) AND NOT (EXISTS(SELECT 1 AS "a" FROM "results_testresult" U1 WHERE (U1."id" IS NOT NULL AND U1."order_item_id" = ("orders_orderitem"."id")) LIMIT 1))) OR "orders_orderitem"."id" IN (SELECT DISTINCT U0."order_item_id" FROM "results_testresult" U0 WHERE U0."status" IN ('DRAFT', 'REJECTED'))); args=(SampleStatus.COLLECTED, SampleStatus.RECEIVED, 1, 'DRAFT', 'REJECTED'); alias=default
lims_backend  | /usr/local/lib/python3.12/site-packages/rest_framework/pagination.py:200: UnorderedObjectListWarning: Pagination may yield inconsistent results with an unordered object_list: <class 'apps.orders.models.OrderItem'> QuerySet.
lims_backend  |   paginator = self.django_paginator_class(queryset, page_size)
lims_backend  | DEBUG 2026-02-08 05:13:21,524 utils 17 130347963706240 (0.002) SELECT "users"."id", "users"."password", "users"."username", "users"."email", "users"."full_name", "users"."role", "users"."is_active", "users"."is_staff", "users"."is_superuser", "users"."date_joined", "users"."last_login" FROM "users" WHERE "users"."id" = 1 LIMIT 21; args=(1,); alias=default
lims_backend  | DEBUG 2026-02-08 05:13:21,527 base 16 130347963706240 Exception while resolving variable 'name' in template 'unknown'.
lims_backend  | Traceback (most recent call last):
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/core/handlers/exception.py", line 55, in inner
lims_backend  |     response = get_response(request)
lims_backend  |                ^^^^^^^^^^^^^^^^^^^^^
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/core/handlers/base.py", line 181, in _get_response
lims_backend  |     callback, callback_args, callback_kwargs = self.resolve_request(request)
lims_backend  |                                                ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/core/handlers/base.py", line 313, in resolve_request
lims_backend  |     resolver_match = resolver.resolve(request.path_info)
lims_backend  |                      ^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^^
lims_backend  |   File "/usr/local/lib/python3.12/site-packages/django/urls/resolvers.py", line 722, in resolve
lims_backend  |     raise Resolver404({"tried": tried, "path": new_path})
