"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","1","R.A. Factor (Quantitative)","Less Than 30","IU/mL","","Standard","Text","0 - 500","0 - 30"
"","2","Free T3","3.058-6.764","pmol/L","","Standard","Text","0 - 500","0 - 500"
"","3","FREE T4","10.53-21.16","pmol/L","","Standard","Text","0 - 500","0 - 100"
"","4","Troponin-I","< 0.10","ng/ml","","Standard","Text","0 - 250","0 - 20"
"","5","TSH","0.370-5.310","µIU/mL","","Standard","Text","0 - 500","0 - 555"
"","6","T3","1.067 - 5.238","nmol/l","","Standard","Text","0 - 500","1 - 5.5"
"","7","ASO titer","Adult: Less than 200Child: Less than 150","lu/ml","","Standard","Text","0 - 500","0 - 200"
"","8","Bleeding Time (BT)","3 - 7","minutes","","Standard","Text","0 - 500","3 - 7"
"","9","T4","61.53 - 168.7","nmol/L","","Standard","Text","0 - 500","55 - 200"
"","10","T3","1.20 - 3.17","nmol/L","","Standard","Text","0 - 500","1 - 5"
"","11","TSH","0.25 - 4.50","µIU/mL","","Standard","Text","0 - 110","0 - 6"
"","12","Serum Potassium","3.4 - 5.5","mmol/L","","Standard","Text","0 - 500","0 - 500"
"","13","Clotting Time (CT)","4 - 11","minutes","","Standard","Text","0 - 500","4 - 11"
"","14","Neutrophil, Absolute","2.0 - 7.0","*10^9/L","","Standard","Formula","0 - 999999","2 - 7"
"","15","INR","0.9 - 1.1","","","Standard","Decimal","0 - 999","0.9 - 1.1"
"","16","INR","0.9 - 1.1","","","Standard","Decimal","0 - 999","0.9 - 1.1"
"","17","INR","0.9 - 1.1","","","Standard","Decimal","0 - 999","0.9 - 1.1"
"","18","Monocyte, Absolute","0.12 - 1.20","*10^9/l","","Standard","Formula","0 - 999999","0.12 - 1.2"
"","19","Eosinophil, Absolute","0.02 - 0.50","*10^9/l","","Standard","Decimal","0 - 999","0.02 - 0.5"
"","20","Eosinophils","1 - 5","%","","Standard","Formula","0 - 100","0 - 111"
"","21","SGPT (ALT)","5 - 45","U/L","","Standard","Text","0 - 500","5 - 45"
"","22","Hematocrit (HCT)","Male: 38 - 50Female: 36 - 46","%","","Standard","Text","0 - 500","0 - 111"
"","23","T4","60.00 - 180.00","nmol/L","","Standard","Text","0 - 500","0 - 200"
"","24","HIV (Screening)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","25","Note","","","*","Descriptive","Text","0 - 500","0 - 99999"
"","26","Prolactin","Male: 4.04 - 15.2Female:(Not Pregnant) 4.79 - 23.3","ng/ml","","Standard","Decimal","0 - 100","2.35 - 100"
"","27","Prolactin","Male: 53 – 572 mIU/LFemale (Non-pregnant): 110 – 572 mIU/LPregnant (1st Trimester): 1,696 – 8,480 mIU/LPregnant (2nd Trimester): 2,332 – 6,996 mIU/LPregnant (3rd Trimester): 2,904 – 7,886 mIU/LPostmenopausal Female: 40 – 390 mIU/L","mIU/L","","Standard","Decimal","0 - 999999","50 - 742"
"","28","FSH","Male: 1.5 – 12.4 mIU/mlFemale (Follicular phase): 3.5 – 12.5 mIU/mlFemale (Mid-cycle peak / Ovulatory phase): 4.7 – 21.5 mIU/mlFemale (Luteal phase): 1.7 – 7.7 mIU/mlPostmenopausal Female: 25.8 – 134.8 mIU/ml","mIU/ml","","Standard","Text","0 - 500","0 - 999"
"","29","LH","Male: 1.5 – 12.4 mIU/mLFemale (Follicular phase): 3.5 – 12.5 mIU/mLFemale (Mid-cycle / Ovulatory): 4.7 – 21.5 mIU/mLFemale (Luteal phase): 1.7 – 7.7 mIU/mLPostmenopausal Female: 25.8 – 134.8 mIU/mL","mIU/ml","","Standard","Text","0 - 500","0.9 - 90"
"","30","Malarial Parasite PF","Negative","","Negative","Standard","List","0 - 500","1 - 1"
"","31","Malarial Parasite PV","Negative","","Negative","Standard","List","0 - 500","0 - 0"
"","32","Salmonella Typhi Antigen (Serum)","Negative","","Negative","Standard","Text","0 - 500","0 - 99999"
"","33","Salmonella Para Typhi Antigen (Serum)","Negative","","Negative","Standard","Text","0 - 500","0 - 99999"
"","34","ACE Level","8 - 52 U/L","U/L","","Standard","Text","0 - 500","0 - 60"
"","35","APTT","24 - 35","Seconds","","Standard","Decimal","0 - 999","24 - 35"
"","36","APTT Control","","Seconds","28","Standard","Decimal","0 - 99","0 - 35"
"","37","Comments","","","Prothrombin time and INR were determined using thromboplastin reagent with ISI 1.0.","Descriptive","AutoComplete","0 - 50000","0 - 0"
"","38","Glomerular Filtration Rate (GFR)","Normal or high: >=90","mL/Min/1.73m^2","","Standard","Formula","0 - 999999","0 - 0"
"","39","HBsAb (Screening)","Negative","","","Standard","List","0 - 500","0 - 9999"
"","40","HBeAg (Screening)","Negative","","","Standard","List","0 - 500","0 - 999"
"","41","HBeAb (Screening)","Negative","","","Standard","List","0 - 500","0 - 999"
"","42","HBcAb (Screening)","Negative","","","Standard","List","0 - 500","0 - 999"
"","43","Creatinine","Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0","mg/dl","","Standard","Decimal","0 - 40","0.6 - 1.2"
"","44","Glomerular Filtration Rate (GFR)CKD-EPI Creatinine (2021)","Normal or high: >=90Mild decrease: 60 - 89Mild to moderate decrease: 45 - 59Moderate to severe decrease: 30 - 44Severe decrease: 15 - 29","mL/Min/1.73m^2","","Standard","Formula","0 - 999999","0 - 500"
"","45","Creatinine","Male: 0.7 - 1.2Female: 0.6 - 1.1Child1 Day: 0.6 - 1.23 Months: 0.2 - 0.41 Year: 0.3 - 0.72-12 Years: 0.35 - 1.0","mg/dl","","Standard","Decimal","0 - 40","0.6 - 1.2"
"","46","Glomerular Filtration Rate (GFR)CKD-EPI Creatinine (2021)","Normal or high: >=90Mild decrease: 60 - 89Mild to moderate decrease: 45 - 59Moderate to severe decrease: 30 - 44Severe decrease: 15 - 29","mL/Min/1.73m^2","","Standard","Formula","0 - 999999","0 - 500"
"","47","Cotinine Drug (COT) Urine","","","","Descriptive","Text","0 - 500","0 - 99999"
"","48","APTT","22 - 34","Sec.","","Standard","Decimal","0 - 102","22 - 34"
"","49","Eosinophil, Absolute","0.02 - 0.50","*10^9/l","","Standard","Decimal","0 - 100","0.02 - 0.5"
"","50","Lymphocytes","20 - 50","%","","Standard","Decimal","0 - 100","20 - 50"
"","51","Monocytes","2 - 10","%","","Standard","Decimal","0 - 100","2 - 10"
"","52","Neutrophil, Absolute","2.0 - 7.0","*10^9/L","","Standard","Decimal","0 - 15","2 - 7"
"","53","Total Cell Count","-","/cu.mm","","Standard","Decimal","0 - 500","0 - 99999"
"","54","Albumin (Fluid)","-","g/dl","","Standard","Decimal","0 - 500","0 - 99999"
"","55","Protein (Spot Urine)","Less Than 35","mg/dl","","Standard","Decimal","0 - 105","0 - 35"
"","56","Amylase (Spot Urine)","Less Than 481","U/L","","Standard","Decimal","0 - 3000","0 - 481"
"","57","Bile Salt (Urine)","","","","Descriptive","Text","0 - 500","0 - 99999"
"","58","Bleeding Time (BT)","3 - 7","minutes","","Standard","Decimal","0 - 99","3 - 7"
"","59","ESR","Female: < 20Male: < 10","mm/1st hr","","Standard","Decimal","0 - 200","0 - 20"
"","60","Hemoglobin (HB)","Female: 11.5 - 14.0Male: 13.5 - 17.5","g/dl","","Standard","Decimal","0 - 500","11.5 - 17.5"
"","61","Red Blood Cell (RBC)","4 - 6","*10^12/l","","Standard","Machine","0 - 999999","4 - 6"
"","62","Hematocrit (HCT)","40.0 - 52.0","%","","Standard","Decimal","0 - 100","40 - 52"
"","63","Mean Cell Volume (MCV)","75.0 - 100.0","fl","","Standard","Decimal","0 - 250","75 - 100"
"","64","Mean Cell Hemoglobin (MCH)","25.0 - 35.0","pg","","Standard","Decimal","0 - 250","25 - 35"
"","65","Mean Cell Hb Conc (MCHC)","31.0 - 38.0","g/dl","","Standard","Decimal","0 - 250","31 - 38"
"","66","Red Cell Dist. Width (RDW-CV)","11.0 - 16.0","%","","Standard","Decimal","0 - 100","11 - 16"
"","67","Red Cell Dist. Width (RDW-SD)","35.0 - 56.0","fl","","Standard","Decimal","0 - 500","35 - 56"
"","68","Platelets Count","150 - 400","*10^9/l","","Standard","Machine","0 - 999999","150 - 400"
"","69","Mean Platelet Volume (MPV)","7.0 - 11.0","fL","","Standard","Decimal","0 - 500","7 - 11"
"","70","Platelet Distribution Width (PDW)","9.0 - 17.0","-","","Standard","Decimal","0 - 500","9 - 17"
"","71","Plateletcrit (PCT)","1.08 - 2.82","mL/L","","Standard","Decimal","0 - 500","1.08 - 2.82"
"","72","P-LCC","30 - 90","*10^9/l","","Standard","Decimal","0 - 500","30 - 90"
"","73","P-LCR","0.110 - 0.450","-","","Standard","Decimal","0 - 500","0.11 - 0.45"
"","74","White Blood Cell (WBC/TLC)","4 - 11","*10^9/l","","Standard","Decimal","0 - 999","4 - 11"
"","75","Neutrophils","40 - 75","%","","Standard","Machine","0 - 999999","40 - 75"
"","76","Eosinophil","1 - 6","%","","Standard","Decimal","0 - 100","1 - 6"
"","77","Basophils","0.0 - 1.0","%","","Standard","Decimal","0 - 100","0 - 1"
"","78","Lymphocyte, Absolute","0.80 - 4.0","*10^9/l","","Standard","Decimal","0 - 500","0.8 - 4"
"","79","Monocyte, Absolute","0.12 - 1.20","*10^9/l","","Standard","Decimal","0 - 500","0.12 - 1.2"
"","80","Basophil, Absolute","0.00 - 0.10","*10^9/l","","Standard","Decimal","0 - 500","0 - 0.1"
"","81","Band Cells","Less than 10","%","","Standard","Decimal","0 - 100","0 - 10"
"","82","Promeyelocyctes","-","%","","Standard","Decimal","0 - 100","0 - 0"
"","83","Metamyelocytes","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","84","Myelocytes","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","85","Atypical Mononuclear/ Blast cells","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","86","Corrected WBC's","-","/cmm","","Standard","Decimal","0 - 500","0 - 99999"
"","87","Nucleated RBCs","-","/100 WBC's","","Standard","Decimal","0 - 500","0 - 99999"
"","88","Note","","","","Descriptive","Text","0 - 500","0 - 99999"
"","89","Heamoglobin","Female: 11.5 - 14.0Male: 13.5 - 17.5","g/dl","","Standard","Decimal","0 - 52.5","11.5 - 17.5"
"","90","Patient Blood Group","-","-","","Standard","List","0 - 500","0 - 99999"
"","91","Donor Blood Group","-","-","","Standard","List","0 - 500","0 - 99999"
"","92","Donor Name","-","-","","Standard","Text","0 - 250","0 - 99999"
"","93","HBsAg (Screening)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","94","Anti HCV (Screening)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","95","HIV (Screening)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","96","RPR (VDRL)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","97","Malaril Parasite (MP)","Negative","-","Negative","Standard","List","0 - 500","0 - 99999"
"","98","Cross Match","-","-","","Standard","Text","0 - 250","0 - 99999"
"","99","Blood Bag Number","-","-","","Standard","Text","0 - 250","0 - 99999"
"","100","Blood Collection Date","-","-","","Standard","Date","2022-10-01 - 2026-12-31","0 - 99999"
"","101","Specimen","","","","Descriptive","AutoComplete","0 - 500","0 - 99999"
"","102","Gross Examination","","","","Descriptive","Text","0 - 500","0 - 99999"
"","103","Microscopy","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","104","Conclusion","","","","Descriptive","Text","0 - 500","0 - 99999"
"","105","BUN/Creatinine Ratio","5 - 20","","","Standard","Decimal","0 - 60","5 - 20"
"","106","Creatinine (Spot Urine)","60 - 166","mg/dl","","Standard","Decimal","0 - 498","60 - 166"
"","107","Calcium (Spot Urine)","42 - 353","mg/L","","Standard","Decimal","0 - 1059","42 - 353"
"","108","Calcium/Creatinine (Spot Urine)","-","","","Standard","Decimal","0 - 500","0 - 99999"
"","109","Blast Cells","","","","Descriptive","Text","0 - 500","0 - 99999"
"","110","Promyelocytes","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","111","Basophil","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","112","Citrate (24 Hours Urine)","0.3 - 0.9","mg/24 hrs","","Standard","Decimal","0 - 2.7","0.3 - 0.9"
"","113","Volume","-","ml","","Standard","Decimal","0 - 250","0 - 99999"
"","114","Clotting Time (CT)","4 - 11","minutes","","Standard","Decimal","0 - 99","4 - 11"
"","115","Coombs Test Indirect","","","","Descriptive","Text","0 - 250","0 - 99999"
"","116","Coombs Test Direct","","","","Descriptive","Text","0 - 250","0 - 99999"
"","117","Creatinine (24 hrs urine)","0.5 - 1.5","G/24 hrs","","Standard","Decimal","0 - 4.5","0.5 - 1.5"
"","118","Total Volume","-","ml","","Standard","Decimal","0 - 9999","0 - 99999"
"","119","Donor Heamoglobin (HB)","Female: 11.5 - 14.0Male: 13.5 - 17.5","g/dl","","Standard","Decimal","0 - 52.5","11.5 - 17.5"
"","120","Saline Phase at 37 C","-","-","","Standard","Text","0 - 250","0 - 99999"
"","121","Bovine Albumin Phase at R.T.","-","-","","Standard","Text","0 - 250","0 - 99999"
"","122","Bovine Albumin Phase at 37 C","-","-","","Standard","Text","0 - 250","0 - 99999"
"","123","Coombs Phase at 37 C","-","-","","Standard","Text","0 - 250","0 - 99999"
"","124","ZN Stain","","","","Descriptive","Text","0 - 500","0 - 99999"
"","125","Metamyelocyctes","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","126","Myelocyctes","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","127","Drain Urine for Urea","","","","Descriptive","Text","0 - 500","0 - 99999"
"","128","Gram stain","","","","Descriptive","Text","0 - 250","0 - 99999"
"","129","Eosinophil, Absolute","0.04 - 0.40","*10^9/l","","Standard","Decimal","0 - 1.2","0.04 - 0.4"
"","130","Erythropoietin (EPO)","4.3 - 29.99","mIU/ml","","Standard","Decimal","0 - 89.97","4.3 - 29.99"
"","131","ESR","Female: Less than 20Male: Less than 10","mm/1st hr","","Standard","Decimal","0 - 200","0 - 20"
"","132","Blood Sugar 1-HRS","60 - 140","mg/dl","","Standard","Decimal","0 - 420","60 - 140"
"","133","Blood Sugar Fasting","60 - 110","mg/dl","","Standard","Decimal","0 - 420","60 - 140"
"","134","Blood C/E (Complete, CBC)","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","135","Red Blood Cell (RBC)","4.0 - 6.0","*10^12/l","","Standard","Decimal","0 - 999","4 - 6"
"","136","RBC Morphology","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","137","Hypochromia","","","","Descriptive","Text","0 - 500","0 - 99999"
"","138","RBC's Morphology:","","","","Descriptive","Text","0 - 250","0 - 99999"
"","139","WBC's morphology:","","","","Descriptive","Text","0 - 500","0 - 99999"
"","140","Microcytosis","","","","Descriptive","Text","0 - 500","0 - 99999"
"","141","Macrocytosis","","","","Descriptive","Text","0 - 500","0 - 99999"
"","142","PLATELETS:","","","","Descriptive","Text","0 - 500","0 - 99999"
"","143","Teardrop cells","","","","Descriptive","Text","0 - 500","0 - 99999"
"","144","Malarial Parasite (MP)","","","","Standard","Text","0 - 250","0 - 99999"
"","145","Anisocytosis","","","","Descriptive","Text","0 - 500","0 - 99999"
"","146","Poikilocytosis","","","","Descriptive","Text","0 - 500","0 - 99999"
"","147","Pencil Cells","","","","Descriptive","Text","0 - 500","0 - 99999"
"","148","Normocytic","","","","Descriptive","Text","0 - 500","0 - 99999"
"","149","Normochromic","","","","Descriptive","Text","0 - 500","0 - 99999"
"","150","Target Cells","","","","Descriptive","Text","0 - 500","0 - 99999"
"","151","Acanthocytes","","","","Descriptive","Text","0 - 500","0 - 99999"
"","152","Spherocytes","","","","Descriptive","Text","0 - 500","0 - 99999"
"","153","Nucleated RBCs","","","","Descriptive","Text","0 - 500","0 - 99999"
"","154","Mild RBCs Fragmentation","","","","Descriptive","Text","0 - 500","0 - 99999"
"","155","Schistocytes","","","","Descriptive","Text","0 - 500","0 - 99999"
"","156","Polychromasia","","","","Descriptive","Text","0 - 500","0 - 99999"
"","157","Lymphocytes","Adult: 25 - 40, Child: 45- 70","%","","Standard","Decimal","0 - 100","25 - 70"
"","158","Neutrophils","Adult: 55 - 70, Child: 20 - 45","%","","Standard","Decimal","0 - 100","20 - 70"
"","159","Eosinophils","Adult: 01 - 05, Child: 02 - 07","%","","Standard","Decimal","0 - 100","1 - 7"
"","160","Blast cells","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","161","Remarks","","","","Descriptive","Text","0 - 500","0 - 99999"
"","162","HB. Electrophoresis","","","","Sub Heading","Text","0 - 500","0 - 99999"
"","163","HB-A","96 - 99","%","","Standard","Decimal","0 - 100","96 - 99"
"","164","HB-C","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","165","HB-F","0.1 - 1.0","%","","Standard","Decimal","0 - 100","0.1 - 1"
"","166","HB-A2","1.8 - 3.2","%","","Standard","Decimal","0 - 100","1.8 - 3.2"
"","167","HB-S/D","-","%","","Standard","Decimal","0 - 100","0 - 99999"
"","168","HCT (PCV)","38.0 - 52.0","%","","Standard","Decimal","0 - 100","38 - 52"
"","169","L.D.H (CSF)","20 - 45","","","Standard","Decimal","0 - 99999","20 - 45"
"","170","lipase (Fluid)","30 - 180","U/L","","Standard","Decimal","0 - 540","30 - 180"
"","171","Malarial Parasite (Thick & Thin)","","","","Descriptive","Text","0 - 500","0 - 99999"
"","172","Mean Cell Hemoglobin (MCH)","25 - 35","pg","","Standard","Decimal","0 - 105","25 - 35"
"","173","Mean Cell Hb Conc (MCHC)","30 - 35","g/dl","","Standard","Decimal","0 - 105","30 - 35"
"","174","Oxalate (24 Hours Urine)","2.0 - 40.0","mg/24 hrs","","Standard","Decimal","0 - 120","2 - 40"
"","175","Platelets","","","","Descriptive","Text","0 - 500","0 - 99999"
"","176","RBC's Morphology","","","","Descriptive","Text","0 - 500","0 - 99999"
"","177","WBC's Morphology","","","","Descriptive","Text","0 - 500","0 - 99999"
"","178","Platelets Count","","","","Descriptive","Text","0 - 500","0 - 99999"
"","179","DLC","-","","","Standard","Text","0 - 500","0 - 99999"
"","180","pH (Urine)","","","","Descriptive","List","0 - 250","0 - 99999"
"","181","Ketone (Urine)","","","NIL","Descriptive","Text","0 - 250","0 - 99999"
"","182","Phosphate Spot Urine","400 - 1300","mg/24 Hours","","Standard","Decimal","0 - 3900","400 - 1300"
"","183","PT","10.2 - 13.5","sec.","","Standard","Decimal","0 - 40.5","10.2 - 13.5"
"","184","INR","0.8 - 1.1","Ratio","","Standard","Decimal","0 - 99","0.8 - 1.1"
"","185","Red Cell Folate","4.5 - 45.3","nmol/l","","Standard","Decimal","0 - 135.9","4.5 - 45.3"
"","186","Reticulocyte Count","Adult: 0.20 - 2.0Newborn: 2.00 - 6.0","%","","Standard","Decimal","0 - 100","0.2 - 6"
"","187","Total Lipids","400 - 900","mg/dl","","Standard","Decimal","0 - 2700","400 - 900"
"","188","Unionized Calcium","4 - 5.5","mg/dl","","Standard","Decimal","0 - 16.5","4 - 5.5"
"","189","Urea (Spot Urine)","15 - 40","mg/dl","","Standard","Decimal","0 - 120","15 - 40"
"","190","Uric Acid (Spot Urine)","(See below)","mg/dl","","Standard","Decimal","0 - 500","0 - 99999"
"","191","V.L.D.L","Normal: < 30Borderline High: 30 to 40High: 40 to 100Very High: > 100","mg/dl","","Standard","Decimal","0 - 120","0 - 40"
"","192","Occult Blood","","","","Standard","Text","0 - 250","0 - 99999"
"","193","Pus Cells","Nil","","Nil","Standard","Text","0 - 250","0 - 99999"
"","194","RBC'S","-","/cmm","","Standard","Decimal","0 - 250","0 - 99999"
"","195","A.N.A Screen IgG","","","","Descriptive","Text","0 - 250","0 - 99999"
"","196","Anti HIV - 1&2 (ICT)","Negative","","","Standard","List","0 - 500","0 - 99999"
"","197","Anti HIV 1&2 Ellisa","","","","Descriptive","Text","0 - 500","0 - 99999"
"","198","Patient's Value","Negative: < 20Positive: > 20","U/ml","","Standard","Decimal","0 - 60","0 - 20"
"","199","ASO titer","Adult: Less than 200Child: Less than 150","lu/ml","","Standard","Decimal","0 - 600","0 - 200"
"","200","Dengue NS1 Antigen","","","","Descriptive","Text","0 - 500","0 - 99999"
"","201","HBsAg Screening","Negative","","","Standard","List","0 - 500","0 - 99999"
"","202","Hepatitis B Surface Antigen","","","","Descriptive","List","0 - 500","0 - 99999"
"","203","Patient's Index Value","","","","Descriptive","Text","0 - 500","0 - 99999"
"","204","HCV Screening","Negative","","","Standard","List","0 - 500","0 - 99999"
"","205","LE Cells","","","","Descriptive","Text","0 - 500","0 - 99999"
"","206","Monospot Test","Negative : < 9.0Grey zone :9.0 to 11.0Positive : > 11.0","","","Standard","Decimal","0 - 33","0 - 11"
"","207","R.A Factor IgG","Negative: < 20Positive: > 20","IU/ml","","Standard","Decimal","0 - 60","0 - 20"
"","208","R.A Factor IgM","Negative: < 25.0Positive: > 25.0Indication of Rheumatoid Arthritis: > 70","IU/ml","","Standard","Decimal","0 - 75","0 - 25"
"","209","RPR (Syphilis)","Negative: < 0.9Positive: > 0.9","","","Standard","Decimal","0 - 2.7","0 - 0.9"
"","210","Rh Antibody Titer","","","","Descriptive","Text","0 - 250","0 - 99999"
"","211","Salmonella Typhi IgG ELISA","","","","Descriptive","Text","0 - 500","0 - 99999"
"","212","Salmonella Typhi igM ELISA","","","","Descriptive","Text","0 - 500","0 - 99999"
"","213","PH","Neutral","","","Standard","List","0 - 250","0 - 99999"
"","214","Reducing Substance","","","","Descriptive","List","0 - 500","0 - 99999"
"","215","V.D.R.L","Non-Reactive: < 0.9Borderline: 0.9 to 1.1Reactive: > 1.1","","","Standard","Decimal","0 - 3.3","0 - 1.1"
"","216","25-OH Vitamin - D3","Deficiency: <10Insufficiency: 10-29Sufficiency: 30-100Potential Toxicity: >100","ng/ml","","Standard","Decimal","0 - 300","10 - 100"
"","217","Alpha Feto-Protein","Less Than 10","µIU/ml","","Standard","Decimal","0 - 100000","0 - 10"
"","218","Anti CCP Antibody (CPA Elisa)","Negative: < 18Borderline: 18 to 22Positive: > 22","U/mL","","Standard","Decimal","0 - 66","0 - 22"
"","219","Anti Ds DNA IgG","Negative: < 1.0Borderline: 1.0 to 1.2Positive: > 1.2","IU/ml","","Standard","Decimal","0 - 3.6","0 - 1.2"
"","220","Anti HDV IgG","","","","Descriptive","Text","0 - 500","0 - 99999"
"","221","Anti HDV IgM","","","","Descriptive","Text","0 - 500","0 - 99999"
"","222","Anti Helicobacter Pylori Screening","Negative","","","Standard","List","0 - 500","0 - 99999"
"","223","Anti Tissue Transglutaminase IgA","Negative < 20.0Positive >20.0","U/ml","","Standard","Decimal","0 - 60","0 - 20"
"","224","Anti Tissue Transglutaminase IgG","Negative: < 18Borderline: 18 - 22Positive: > 22","U/mL","","Standard","Decimal","0 - 66","0 - 22"
"","225","Thyroid Antibodies","50.0 - 70.0","IU/ml","","Standard","Decimal","0 - 210","50 - 70"
"","226","Beta 2 Glycoprotein-1 IgG","Negative < 10.0Positive > 10.0","-","","Standard","Decimal","0 - 30","0 - 10"
"","227","Beta 2 Glycoprotein-1 IgM","Negative < 10.0Positive > 10.0","-","","Standard","Decimal","0 - 30","0 - 10"
"","228","BETA HCG","","","","Descriptive","Text","0 - 500","0 - 99999"
"","229","C-Reactive Protein (CRP)","Less Than 6","mg/L","","Standard","Decimal","0 - 500","0 - 6"
"","230","CA-125","Less Than 35","U/ml","","Standard","Decimal","0 - 999999","0 - 35"
"","231","CA-19-9","Less Than 37","u/ml","","Standard","Decimal","0 - 999","0 - 37"
"","232","Metanephrine Urine","Less Than 350","ug/24 Hours","","Standard","Decimal","0 - 1050","0 - 350"
"","233","Normetanephrine Urine","Less Than 600","ug/24 Hours","","Standard","Decimal","0 - 1800","0 - 600"
"","234","Dopamine","Less Than 600","ug/24 Hours","","Standard","Decimal","0 - 1800","0 - 600"
"","235","Cortisol AM","138.0 - 690.0","nmol/l","","Standard","Decimal","0 - 2070","138 - 690"
"","236","Cortisol PM","69.0 - 345.0","nmol/l","","Standard","Decimal","0 - 1035","69 - 345"
"","237","COVID-19 Anti-Spike IgG Antibody Test","Non-Reactive <7.1Reactive = 7.1","BAU/mL","","Standard","Decimal","0 - 21.3","0 - 7.1"
"","238","COVID-19 Antigen Rapid Test","","","","Descriptive","Text","0 - 500","0 - 99999"
"","239","Serum Creatinine","Male: 0.7 - 1.2Female: 0.6 - 1.1","mg/dl","","Standard","Decimal","0 - 40","0.6 - 1.2"
"","240","Urine Creatinine","60 - 166","mg/dl","","Standard","Decimal","0 - 498","60 - 166"
"","241","Creatinine Clearance","90.0 - 120.0","ml/min","","Standard","Decimal","0 - 360","90 - 120"
"","242","CRP (High Sensitivity)","Neonatal: Serum 0.01 - 0.35Adult: Serum 0.068 - 8.2","mg/l","","Standard","Decimal","0 - 500","0.01 - 8.2"
"","243","Cyclosporin (C2) 2 Hours After Dose","(See below)","ng/ml","","Standard","Decimal","0 - 500","0 - 99999"
"","244","Folic Acid","3.00 - 20.00","ng/ml","","Standard","Decimal","0 - 60","3 - 20"
"","245","Egg White","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","246","Egg Yolk","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","247","Cow's Milk","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","248","Cow's Milk, UHT","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","249","Casein","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","250","Wheat Flour","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","251","Gluten","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","252","Rice","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","253","Soyabean","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","254","Sesame","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","255","Peanut","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","256","Hazelnut","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","257","Pistachio","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","258","Sunflower seed","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","259","Pumpkin Seed","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","260","Cocoa bean","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","261","Orange","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","262","Strawberry","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","263","Apple","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","264","Banana","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","265","Kiwi","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","266","Mulberry","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","267","Fig","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","268","Tomato","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","269","Carrot","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
"","270","Potato","Less Than 0.35","kU/L","","Standard","Decimal","0 - 1.05","0 - 0.35"
