"","Sr","Test Name","Normal Range","Unit","Default Value","Cate","Type","Valid","Highligh"
"","929","ESR","M.0-10 F.0-20","mm/1st hr","","Standard","Decimal","0 - 250","0 - 10"
"","930","White Blood Cell (WBC/TLC)","4 - 11","X10^3/uL","","Standard","Decimal","0 - 999","4 - 11"
"","931","PATIENT'S VALUE","NEGATIVE <1.00POSITIVE >1.20","U/ml","","Standard","Text","0 - 500","0 - 99999"
"","932","ALKALINE PHOSPHATASE","ADULT 60 - 120CHILD < 200","U/L","","Standard","Decimal","0 - 500","60 - 200"
"","933","ALKALINE PHOSPHATASE","ADULT 60 - 120CHILD 60 - 200","U/L","","Standard","Text","0 - 500","0 - 99999"
"","934","L.D.H","140 - 280","U/L","","Standard","Decimal","0 - 99999","0 - 99999"
"","935","HbA1c","INTERPRETATION OF RESULT:Normal:                 (<5.7%)Pre-Diabetes:        (5.7 - 6.4%)Diabetes:               (>6.4%)4.5- 6.4       (Ideal, Excellent Control) 6.5- 7.0       (Desirable Control) 7.1- 8.0      (Suboptimal Control) >8.1          (Very Poor Control","%","","Standard","Decimal","0 - 16.0","0 - 8"
"","936","IgE","* * *Reference IntervalChildren up to 2 months:0- 1.502 months to 1 year:0 - 15.01 to 5 years:0 - 60.05 to 9 years:0 - 90.09 to 15 years:0 - 200.0Adult,Male:0 - 100Female:0 - 100","IU/ml","","Standard","Text","0 - 500","0 - 9999999999"
"","937","SERUM TRIGLYCERIDES","Normal:< 150Borderline: 150 - 199High: 200 - 499Very High: > 500","mg/dl","","Standard","Decimal","0 - 500","150 - 500"
"","938","SERUM CHOLESTEROL","Desirable: < 200Boderline High: 200 - 239High: > 240","mg/dl","","Standard","Decimal","0 - 500","200 - 240"
"","939","HDL","No Risk : > 60Moderate Risk: 40 - 60High Risk : < 40","mg/dl","","Standard","Decimal","0 - 500","40 - 60"
"","940","LDL","Desirable: < 99Above Desirable: 100-129Borderline: 130 - 159High: 160 - 189Very High: > 190","mg/dl","","Standard","Decimal","0 - 500","99 - 190"
"","941","RETICULOCYTE COUNT","0.50 - 2.00","%","","Standard","Text","0 - 500","0 - 99999"
"","942","Coombs Test Direct","","","","Standard","Text","0 - 500","0 - 99999"
"","943","URINE FOR PREGNANCY TEST","","","","Standard","Text","0 - 500","0 - 99999"
"","944","BETA HCG","* Premenopausal women:<1-2.969Postmenopausal women:<1-7.6524-5 weeks of pregnancy:23.93 - 81066-8 weeks of pregnancy:249.1 - 1872599- 12 weeks:33065 - 23561413-24 weeks of pregnancy:6802 - 7455825-40 weeks of pregnancy:3117 - 65019","IU/L","","Standard","Text","0 - 500","0 - 99999"
"","945","R.A FACTOR (QUANTITATIVE)","Normal Value 20.0","mg/L","","Standard","Decimal","0 - 500","0 - 20"
"","946","C-REACTIVE PROTEIN (CRP) Quantitative","0-1","mg/L","","Standard","Decimal","0 - 500","0 - 1"
"","947","ALPHA FETO-PROTEIN","Less Than 8.5","µIU/ml","","Standard","Text","0 - 500","0 - 99999"
"","948","VDRL","","","","Standard","Text","0 - 500","0 - 99999"
"","949","TPHA (Syphilis)","Non Reactive    < 1.0         Reactive        > 1.0","IU/ml","","Standard","Text","0 - 500","0 - 9999999"
"","950","HCV Screening","","","","Standard","Text","0 - 500","0 - 99999"
"","951","ANTI HIV - 1&2 (ICT)","","","","Standard","Text","0 - 500","0 - 99999"
"","952","Monomeric Prolactin","1.8 - 20","ng/mL","","Standard","Decimal","0 - 999","1.8 - 20"
"","953","F.D.P's (D-DIMER)","0.00 - 0.50","ng/ml","","Standard","Text","0 - 500","0 - 99999"
"","954","PATIENT'S VALUE","NEGATIVE <1.00POSITIVE >1.20","U/ml","","Descriptive","Text","0 - 500","0 - 99999"
"","955","Dengue NS1 Antigen","Negative: < 0.9Borderline: 0.9 to 1.1Positive: > 1.1","","","Standard","Decimal","0 - 999","0 - 99999"
"","956","PATIENT'S VALUE","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","957","SPUTUM FOR AFB","-","","","Descriptive","Text","0 - 500","0 - 99999"
"","958","T3","1.20 - 2.80","nmol/l","","Standard","Text","0 - 500","0 - 99999999"
"","959","T4","60.00 - 160.00","nmol/l","","Standard","Text","0 - 500","0 - 99999999"
"","960","TSH","0.17 - 5.50* Reference ValuesPremature:0.7 - 27Cord Blood:2.3 - 13.21 - 4 days:1.0 - 392 - 20 weeks:1.7 - 9.1","mIU/L","","Standard","Text","0 - 500","0 - 9999999999"
"","961","Remarks:","This Test Performed on Access 2(CLIA).","","","Descriptive","Text","0 - 500","0 - 99999"
"","962","TSH","0.17 5.50* Reference ValuesPremature:0.7 - 27Cord Blood:2.3 - 13.21 - 4 days:1.0 - 392 - 20 weeks:1.7 - 9.1","mIU/ml","","Standard","Text","0 - 500","0 - 9999999"
"","963","TESTOSTERONE","* Adult Female :0.10 - 0.90Children.0-2 Years:0.07 - 0.183-7 Years:0.07 - 0.208 - 11 Years:0.20 - 0.4012-14 Years:0.30 - 0.70","ng/ml","","Standard","Text","0 - 500","0 - 99999"
